Sheet,Location,Area/Category,Product Type,Product/Colour,Size,Finish,Thickness,A Faces,B Faces,Extra A,Extra B,Total,Product No,Description,Pre-Cut,Notes
Product Panels,Room 4,Slab 1,Sintered Slab,Onyx Halo,160 x 320 cm,Honed,12 mm,1,0,0,0,1,8000-0467-1,162 x 322 cm / 64 x 127 in Onyx Halo Block 44 Bookmatch Cut Honed Colorsync Sintered Slab 12 mm / 0.47 in,,sıralama soldan sağa doğru 12 mm lik slabler en dışta / kalacak şekilde yerleşmeli
Product Panels,Room 4,Slab 2,Sintered Slab,Monoforma Silhouette,160 x 320 cm,Polished,12 mm,1,0,0,0,1,8000-0521-1,162 x 322 cm / 64 x 127 in Monoforma Silhouette Polished Unglazed Sintered Slab 12 mm / 0.47 in,,sample eksik ( silk)
Product Panels,Room 4,Slab 3,Sintered Slab,Armani Noir,160 x 320 cm,Honed,6 mm,1,0,0,0,1,8000-0186-0,160 x 320 cm / 63 x 126 in Armani Noir Block 17 Bookmatch Cut Honed Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,sample eksik ( polished))
Product Panels,Room 4,Slab 4,Sintered Slab,Calacatta Carrara,160 x 320 cm,Honed,6 mm,1,0,0,0,1,8000-0046-0,160 x 320 cm / 63 x 126 in Calacatta Carrara Block 23 Bookmatch Cut Honed Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Product Panels,Room 4,Slab 5,Sintered Slab,Fusion White,160 x 320 cm,Honed,6 mm,1,0,0,0,1,8000-0246-0,160 x 320 cm / 63 x 126 in Fusion White Block 27 Bookmatch Cut Honed Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Product Panels,Room 4,Slab 6,Sintered Slab,Publica Thunder,160 x 320 cm,Organic Matte,6 mm,1,0,0,0,1,8000-0565-0,160 x 320 cm / 63 x 126 in Publica Thunder Organic Matte Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,"patinated 160 x 320 , sample organic matte"
Product Panels,Room 4,Slab 7,Sintered Slab,Nero Marquina,160 x 320 cm,Polished,6 mm,1,0,0,0,1,8000-0268-1,160 x 320 cm / 63 x 126 in Nero Marquina Block 26 Bookmatch Cut Polished Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Product Panels,Room 4,Slab 8,Sintered Slab,Montagna Jade,162 x 322 cm,Honed,6 mm,1,0,0,0,1,8000-0262-0,160 x 320 cm / 63 x 126 in Montagna Jade Block 14 Bookmatch Cut Honed Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Product Panels,Room 4,Slab 9,Sintered Slab,Serena Flint,160 x 320 cm,Honed,6 mm,1,0,0,0,1,8000-0543-1,160 x 320 cm / 63 x 126 in Serena Flint Honed Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Product Panels,Room 4,Slab 10,Sintered Slab,Travertino Titanium,160 x 320 cm,Grained,6 mm,1,0,0,0,1,8000-0538-0,160 x 320 cm / 63 x 126 in Travertino Titanium Grained Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Product Panels,Room 4,Slab 11,Sintered Slab,Super White,160 x 320 cm,Honed,6 mm,1,0,0,0,1,8000-0294-0,160 x 320 cm / 63 x 126 in Super White Block 28 Bookmatch Cut Honed Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Product Panels,Room 4,Slab 12,Sintered Slab,Publica Terrain,160 x 320 cm,Patinated,6 mm,1,0,0,0,1,8000-0562-0,160 x 320 cm / 63 x 126 in Publica Terrain Patinated Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Product Panels,Room 4,Slab 13,Sintered Slab,Cristallo,160 x 320 cm,Polished,6 mm,1,0,0,0,1,8000-0232-0,160 x 320 cm / 63 x 126 in Cristallo Block 13 Bookmatch Cut Polished Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Product Panels,Room 4,Slab 14,Sintered Slab,Calacatta Viola,160 x 320 cm,Polished,6 mm,1,0,0,0,1,8000-0048-0,160 x 320 cm / 63 x 126 in Calacatta Viola Block 41 Bookmatch Cut Polished Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Product Panels,Room 4,Slab 15,Sintered Slab,Publica Horizon,160 x 320 cm,Patinated,6 mm,1,0,0,0,1,8000-0560-0,160 x 320 cm / 63 x 126 in Publica Horizon Patinated Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Product Panels,Room 4,Slab 16,Sintered Slab,French Vanilla,160 x 320 cm,Polished,6 mm,1,0,0,0,1,8000-0529-0,160 x 320 cm / 63 x 126 in French Vanilla Polished Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Product Panels,Room 4,Slab 17,Sintered Slab,Serena Crater,160 x 320 cm,Honed,6 mm,1,0,0,0,1,8000-0541-1,160 x 320 cm / 63 x 126 in Serena Crater Honed Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Product Panels,Room 4,Slab 18,Sintered Slab,Marina White,160 x 320 cm,Polished,6 mm,1,0,0,0,1,8000-0256-0,160 x 320 cm / 63 x 126 in Marina White Block 46 Bookmatch Cut Polished Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Product Panels,Room 4,Slab 19,Sintered Slab,Lithoform Crosscut Dunes,160 x 320 cm,Vintage,6 mm,1,0,0,0,1,8000-0549-0,160 x 320 cm / 63 x 126 in Lithoform Crosscut Dunes Vintage Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Product Panels,Room 4,Slab 20,Sintered Slab,Travertino Classico,160 x 320 cm,Grained,6 mm,1,0,0,0,1,8000-0577-0,160 x 320 cm / 63 x 126 in Travertino Classico Grained Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Product Panels,Room 4,Slab 21,Sintered Slab,Taj Mahal,160 x 320 cm,Honed,6 mm,1,0,0,0,1,8000-0599-0,160 x 320 cm / 63 x 126 in Taj Mahal Honed Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Product Panels,Room 4,Slab 22,Sintered Slab,Monoforma Storm,160 x 320 cm,Polished,12 mm,1,0,0,0,1,8000-0519-1,162 x 322 cm / 64 x 127 in Monoforma Storm Polished Unglazed Sintered Slab 12 mm / 0.47 in,,sample eksik ( silk)
Product Panels,Room 4,Slab 23,Sintered Slab,Colorado Lincoln,160 x 320 cm,Polished,12 mm,1,0,0,0,1,8000-0463-1,162 x 322 cm / 64 x 127 in Colorado Lincoln Block 81 Bookmatch Cut Polished ColorsyncSintered Slab 12 mm / 0.47 in,,
Product Panels,Room 4,Slab 24,Sintered Slab,Calacatta Noir,160 x 320 cm,Satin,12 mm,1,0,0,0,1,8000-0476-1,162 x 322 cm / 64 x 127 in Calacatta Noir Block 34 Bookmatch Cut Satin Colorsync Sintered Slab 12 mm / 0.47 in,,
Product Panels,Room 5,Mini Slab 01,Sintered Slab,Lithoform Crosscut Twilight,120 x 280 cm,Honed,6 mm,1,0,0,0,1,8500-0089-0,120 x 280 cm / 48 x 110 in Lithoform Crosscut Twilight Honed Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,sıralama soldan sağa doğru / olacak şekilde slabler yerleşmeli
Product Panels,Room 5,Mini Slab 02,Sintered Slab,Lithoform Veincut Twilight,120 x 280 cm,Honed,6 mm,1,0,0,0,1,8500-0101-0,120 x 280 cm / 48 x 110 in Lithoform Veincut Twilight Honed Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Product Panels,Room 5,Mini Slab 03,Sintered Slab,Lustra Onyx Feather,120 x 280 cm,Polished,6 mm,1,0,0,0,1,8500-0686-0,120 x 280 cm / 48 x 110 in Lustra Onyx Feather Polished Rectified Colorsync Porcelain Slab 6 mm / 0.24 in,,sample eksik ( honed)
Product Panels,Room 5,Mini Slab 04,Sintered Slab,Majesto Arabescato Corchia,120 x 280 cm,Honed,6 mm,1,0,0,0,1,8500-0013-1,120 x 280 cm / 48 x 110 in Majesto Arabescato Corchia Honed Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Product Panels,Room 5,Mini Slab 05,Sintered Slab,Majesto Atlantic Ocean,120 x 280 cm,Polished,6 mm,1,0,0,0,1,8500-0053-0,120 x 280 cm / 48 x 110 in Majesto Atlantic Ocean Polished Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Product Panels,Room 5,Mini Slab 06,Sintered Slab,Majesto Bianco Dior,120 x 280 cm,Polished,6 mm,1,0,0,0,1,8500-0046-0,120 x 280 cm / 48 x 110 in Majesto Bianco Dior Bookmatch Cut Polished Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Product Panels,Room 5,Mini Slab 07,Sintered Slab,Majesto Calacatta Borghini,120 x 280 cm,Honed,6 mm,1,0,0,0,1,8500-0033-1,120 x 280 cm / 48 x 110 in Majesto Calacatta Borghini Honed Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,"sample eksik ( satin , vintage)"
Product Panels,Room 5,Mini Slab 08,Sintered Slab,Majesto Calacatta Corchia,120 x 280 cm,Polished,6 mm,1,0,0,0,1,8500-0018-0,120 x 280 cm / 48 x 110 in Majesto Calacatta Corchia Polished Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,sample eksik ( satin )
Product Panels,Room 5,Mini Slab 09,Sintered Slab,Serena Pewter,120 x 280 cm,Honed,6 mm,1,0,0,0,1,8500-0074-0,120 x 280 cm / 48 x 110 in Serena Pewter Honed Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Product Panels,Room 5,Mini Slab 10,Sintered Slab,Majesto Verdi Alpi,120 x 280 cm,Honed,6 mm,1,0,0,0,1,8500-0041-1,120 x 280 cm / 48 x 110 in Majesto Verdi Alpi Honed Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Product Panels,Room 5,Mini Slab 12,Sintered Slab,Majesto Crystal Bianco,120 x 280 cm,Honed,6 mm,1,0,0,0,1,8500-0057-1,120 x 280 cm / 48 x 110 in Majesto Crystal Bianco Honed Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Product Panels,Room 5,Mini Slab 11,Sintered Slab,Lustra Onyx Sage,120 x 280 cm,Polished,6 mm,1,0,0,0,1,8500-0064-0,120 x 280 cm / 48 x 110 in Lustra Onyx Sage Polished Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
