source_workbook,source_sheet,source_row,source_cell,reference_name,name_as_listed,marketing_header,technical_header,thickness_mm,option_as_listed,notes_as_listed,interpretation
Assortment confirmation list with names 260618_1.xlsx,Names,2,I2,Arabescato Corchia,Arabescato Corchia Block 59,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,2,J2,Arabescato Corchia,Arabescato Corchia Block 59,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,3,I3,Arabescato Vagli,Arabescato Vagli Block 34,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,3,J3,Arabescato Vagli,Arabescato Vagli Block 34,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,3,K3,Arabescato Vagli,Arabescato Vagli Block 34,Satin,Satin,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,4,I4,Statuario,Statuario Block 16,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,4,J4,Statuario,Statuario Block 16,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,5,I5,Statuario,Statuario Block 17,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,5,J5,Statuario,Statuario Block 17,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,5,K5,Statuario,Statuario Block 17,Satin,Satin,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,6,I6,Bianco Gioia,Bianco Gioia Block 19,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,6,J6,Bianco Gioia,Bianco Gioia Block 19,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,7,I7,Montania Grey,Montania Grey,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,7,J7,Montania Grey,Montania Grey,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,7,K7,Montania Grey,Montania Grey,Satin,Satin,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,8,I8,Calacatta Corchia,Calacatta Corchia,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,8,J8,Calacatta Corchia,Calacatta Corchia,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,8,K8,Calacatta Corchia,Calacatta Corchia,Satin,Satin,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,9,I9,Calacatta Carrera,Calacatta Carrera,Polished,Polished,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,9,J9,Calacatta Carrera,Calacatta Carrera,Honed,Honed,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,9,K9,Calacatta Carrera,Calacatta Carrera,Satin,Satin,,x,,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,Names,10,I10,Calacatta Monti,Calacatta Monti Block 54,Polished,Polished,,x,consider cancelling,"assortment option; not SKU, stock, lifecycle or Merch priority"
