,Reference Name,Block #,Completely Random,Photos,Subsize Assortment,160x320 6 mm,Notes,Polished,Honed,Satin,Leathered,Structured matt,Structured Honed,Structured Brushed,Unglazed Polished,Unglazed Satin,Acik Masse saten,Koyu Masse saten
x,Arabescato Corchia,Block 14,Arabescato Corchia Block 59,updated image needed,x,P H,,x,x,,,,,,,,,
,Arabescato Vagli,Block 15,Arabescato Vagli Block 34,,,P H,,x,x,x,,,,,,,,
,Statuario,Block 17,Statuario Block 16,,1 + 120x280 bookmacth,P H,,x,x,,,,,,,,,
,Statuario,,Statuario Block 17,,x,P H,,x,x,x,,,,,,,,
x,Bianco Gioia,Block 23,Bianco Gioia Block 19,,x,P H,,x,x,,,,,,,,,
x,Montania Grey,,Montania Grey ,,x,P H,,x,x,x,,,,,,,,
x,Calacatta Corchia,,Calacatta Corchia ,,120x280 only,P H,,x,x,x,,,,,,,,
x,Calacatta Carrera,,Calacatta Carrera ,,120x280 only,P H,,x,x,x,,,,,,,,
x,Calacatta Monti,Block 40,Calacatta Monti Block 54,,,,consider cancelling,x,x,,,,,,,,,
x,Ariel Bianco,Block 31,Ariel Bianco Block 33,,,P H,,x,x,x,,,,,,,,
x,Panda,Block 19,Panda Block 22,,,P H,,x,x,,,,,,,,,
,Crystal - Calacatta Oro,Block 16,Calacatta Oro Block 12,,x,P H,consider La Marca Calacatta,x,x,x,,,,,,,,
,Calacatta Cremo,Block 28,Calacatta Cremo Block 31,,x,P H,,x,x,x,,,,,,,,
,"Crystal - White Macaubas - Color adjust to white background, grey or grey/beige veins?",,,,,P H,,x,x,x,,,,,,,,
,Calacatta Nero Borghini GRA-0001 GRA-0001-2,,,,x,P H,,x,x,x,,,,,,,,
x,Fusion White,Block 41,Fusion White Block 27,,,P H,,x,x,,,,,,,,,
x,Gemma Bronze,Block 12,Gemma Bronze Block 45,,120x280 only,P H,,x,x,,,,,,,,,
x,Calacatta Picasso,Block 20,Calacatta Picasso Block 32,,120x280 only,P H,,x,x,,,,,,,,,
x,Calacatta Viola,Block 18,Calacatta Viola Block 41,,,P H,,x,x,,,,,,,,,
,Calacatta Borghini,,,,x,P H,,x,x,x,,,,,,,,
,WHITE MARBLES,,,TOTAL COLORS,19,,,,,,,,,,,,,
x,Cristallo,Block 38,Cristallo Block 13,,,P H,,x,x,x,,,,,,,,
x,Taj Mahal,,Taj Mahal ,,,P H,,x,x,x,,,,,,,,
,Atlantic Ocean,Block 21,Atlantic Ocean Block 24,,,P H,,x,x,x,,,,,,,,
x,Marina White,Block 22,Marina White Block 46,,,P H,,x,x,,,,,,,,,
,Super White,Block 24,Super White Block 28,,,P H,,x,x,,,,,,,,,
x,Grigio Quarzo,,Grigio Quarzo ,,x,H,,,x,,,,,,,,,
,QUARTZITES,,,TOTAL COLORS,6,,,,,,,,,,,,,
,"Crystal - French Vanilla (locate polished slab, picture shows bush hammered)",,,,x,4 Face P H,,x,x,x,,,,,,,,
x,Pietra Imperiale (grey version),,Forge Eleganza Block 20,,x,P H,,x,x,x,,,,,,,,
x,Montagnia Jade,Block 39,Montagnia Jade Block 14,,,P H,,x,x,,,,,,,,,
x,Verdi Alpi,Block 27,Verdi Alpi Block 57,,x,P H,,x,x,,,,,,,,,
x,Foresta Vecchia ,Block 26,Foresta Vecchia  Block 42,,120x280 only,P H,,x,x,,,,,,,,,
x,Foresta,Block 29,Foresta Block 56,,,P H,,x,x,,,,,,,,,
,Pietra Imperiale,Block 35,Pietra Imperiale Block 30,,,P H,,x,x,x,,,,,,,,
x,Oro Noir,Block 13,Oro Noir Block 25,,120x280 only,P H,,x,x,,,,,,,,,
x,Bianco Dior,Block 32,Bianco Dior Block 38,,120x280 only,P H,,x,x,,,,,,,,,
x,Sahara Noir,Block 33,Sahara Noir Block 15,,120x280 only consider continous vein,P H,,x,x,,,,,,,,,
x,Armani Noir,Block 25,Armani Noir Block 17,,,P H,,x,x,,,,,,,,,
x,Calacatta Noir,Block 36,Calacatta Noir Block 34,,x,P H,,x,x,x,,,,,,,,
x,Nero Marquina Extra,Block 37,Nero Marquina Extra Block 26,,,P H,,x,x,x,,,,,,,,
,VARIOUS MARBLES,,,TOTAL COLORS,13,,,,,,,,,,,,,
,Crystal - White Onyx,,,,x,P H,,x,x,,,,,,,,,
,Crystal - Pure Light Green Onyx,,Grey / Taupe,,x,P H,,x,x,,,,,,,,,
,Crystal - Pure Light Green Onyx,,Ivory / Beige,,,,,,,,,,,,,,,
,ONYX,,,TOTAL COLORS,2,,,,,,,,,,,,,
,Travertino Classico,Block 34,Travertino Classico Block 55,updated image needed,x,4 Face SH G,Vintage and organic structured matte,,,,,x,x,,,,,
,,,Travertine Titanium,,x,4 Face SH G,Vintage and organic structured matte,,,,,x,x,,,,,
,Crystal - Travertino Silver Clear Filled (slab in the back),,,,1,,,,,,,,,,,,,
,TRAVERTINE,,,TOTAL COLORS,2,,,,,,,,,,,,,
,,,Pietra Serena,,x,4 Face SH OM,Organic matte,,,,,x,x,,,,,
,,,Pietra Serena,,x,4 Face SH OM,Organic matte,,,,,x,x,,,,,
,,,Pietra Serena,,x,4 Face SH OM,Organic matte,,,,,x,x,,,,,
,,,Pietra Serena,,x,,,,,,,x,x,,,,,
,,,Halila Limestone (warm grey),,x,4 Face SH V,Vintage and organic structured matte,,,,,x,x,,,,,
,,,Halila Limestone (warm grey),,x,4 Face SH V,Vintage and organic structured matte,,,,,x,x,,,,,
,,,Halila Limestone (warm grey),,x,4 Face SH V,Vintage and organic structured matte,,,,,x,x,,,,,
,,,Yacht Limestone Veincut (Halila),,x,4 Face SH OM,Organic matte,,,,,x,x,,,,,
,,,Yacht Limestone Veincut (Halila),,x,4 Face SH OM,Organic matte,,,,,x,x,,,,,
,,,Yacht Limestone Veincut (Halila),,x,4 Face SH OM,Organic matte,,,,,x,x,,,,,
,LIMESTONES,,,TOTAL COLORS,12,,,,,,,,,,,,,
,Ceppo type stone OS-1140,,2 faces confirmed,,x,,Organic matte,,,,,x,x,,,,,
,Terrazzo OS-0949 (2 faces),,1 face confirmed,,x,,Organic matte,,,,,x,x,,,,,
,STONE,,,TOTAL COLORS,2,,,,,,,,,,,,,
,Argilla Cement,,Cement 1,,x,4 Face SB OM,"Structured brushed
Organic Matte",,,,,x,,x,,,,
,,,Cement 2,,x,4 Face SB OM,"Structured brushed
Organic Matte",,,,,x,,x,,,,
,,,Cement 3,,x,4 Face SB OM,"Structured brushed
Organic Matte",,,,,x,,x,,,,
,,,Cement 4,,x,,,,,,,x,,x,,,,
,Origostyle OS-0725 Metal design - still reviewing options ,,Color 1,,,,consider cancelling,,,,,,,,,,,
,Origostyle OS-0725 Metal design - still reviewing options ,,Color 2,,,,consider cancelling,,,,,,,,,,,
,Anatolia - Muskoka Plank White Oak,,  4 - 6 colors in subsize,,x,,consider cancelling,,,,,,,,,,,
,Anatolia - Muskoka Plank White Oak,,  4 - 6 colors in subsize,,x,,consider cancelling,,,,,,,,,,,
,WOOD,,,TOTAL COLORS,,,,,,,,,,,,,,
,Unicolor White,,,,x,P S,Unglazed,,,,,,,,x,x,,
,Unicolor Ivory,, ,,x,P S,Unglazed,,,,,,,,x,x,,
,Unicolor Light Grey,, ,,x,P S,Unglazed,,,,,,,,x,x,,
,Unicolor Black,, ,,x,P S,Unglazed,,,,,,,,x,x,,
,UNICOLOR UNGLAZED,,,TOTAL COLORS,4,,,,,,,,,,,,,
