,,,,MARKETING NAME:,Polished,,Honed,,Satin,Silk,Organic Matte,Vintage,Grained,Patinated,,
,Reference Name,Completely Random,Photos,Notes,Polished,Unglazed Polished,Honed,Structured Honed,Satin,Structured matt,Structured matt,Structured matt,Structured matt,Structured Brushed,,
,Arabescato Corchia,Arabescato Corchia Block 59,,Bookmatch 2 faces,x,,x,,,,,,,,,
,Arabescato Vagli,Arabescato Vagli Block 34,,Bookmatch 2 faces,x,,x,,x,,,,,,,
,Statuario,Statuario Block 16,,Bookmatch 2 faces,x,,x,,,,,,,,,
,Statuario,Statuario Block 17,,Bookmatch 2 faces,x,,x,,x,,,,,,,
,Bianco Gioia,Bianco Gioia Block 19,,Bookmatch 2 faces,x,,x,,,,,,,,,
,Montania Grey,Montagna Grey Block 11,,Bookmatch 2 faces,x,,x,,x,,,,,,,
,Calacatta Corchia,Calacatta Corchia Block 43,,Bookmatch 2 faces,x,,x,,x,,,,,,,
,Calacatta Carrera,Calacatta Carrara Block 23,,Bookmatch 2 faces,x,,x,,x,,,,,,,
,Ariel Bianco,Ariel Bianco Block 33,,Bookmatch 2 faces,x,,x,,x,,,,,,,
,Panda,Panda Block 22,,Bookmatch 2 faces,x,,x,,,,,,,,,
,Calacatta Paonazzo,Calacatta Oro Block 12,,Bookmatch 2 faces,x,,x,,x,,,,,,,
,Calacatta Cremo,Calacatta Cremo Block 31,,Bookmatch 2 faces,x,,x,,x,,,,,,,
,"Crystal - White Macaubas - Color adjust to white background, grey or grey/beige veins?",Bianco Stratura Block 18,,Bookmatch 2 faces,x,,x,,x,,,,,,,
,Calacatta Nero Borghini GRA-0001 GRA-0001-2,Colorado Lincoln Block 81,,Bookmatch 2 faces,x,,x,,x,,,,,,,
,Fusion White,Fusion White Block 27,,Bookmatch 2 faces,x,,x,,,,,,,,,
,Gemma Bronze,Gemma Bronze Block 45,,Bookmatch 2 faces,x,,x,,,,,,,,,
,Calacatta Picasso,Calacatta Picasso Block 32,,Bookmatch 2 faces,x,,x,,,,,,,,,
,Calacatta Viola,Calacatta Viola Block 41,,Bookmatch 2 faces,x,,x,,,,,,,,,
,Calacatta Borghini,Calacatta Borghini Block 48,,Bookmatch 2 faces,x,,x,,x,,,,,,,
,WHITE MARBLES,TOTAL COLORS,19,,19,,19,,11,,,,,,49,
,Cristallo,Cristallo Block 13,,Bookmatch 2 faces,x,,x,,x,,,,,,,
,Taj Mahal,Taj Mahal Block 36,,Bookmatch 2 faces,x,,x,,x,,,,,,,
,Atlantic Ocean,Atlantic Ocean Block 24,,Bookmatch 2 faces,x,,x,,x,,,,,,,
,Marina White,Marina White Block 46,,Bookmatch 2 faces,x,,x,,,,,,,,,
,Super White,Super White Block 28,,Bookmatch 2 faces,x,,x,,,,,,,,,
,Grigio Quarzo,Grigio Quarzo Block 21,,Bookmatch 2 faces,,,x,,,,,,,,,
,QUARTZITES,TOTAL COLORS,6,,5,,6,,3,,,,,,14,
,Crystal - French Vanilla ,French Vanilla Block 35,,Bookmatch 2 faces,x,,x,,x,,,,,,,
,Pietra Imperiale (grey version),Forge Eleganza Block 20,,Bookmatch 2 faces,x,,x,,x,,,,,,,
,Montagnia Jade,Montagna Jade Block 14,,Bookmatch 2 faces,x,,x,,,,,,,,,
,Verdi Alpi,Verdi Alpi Block 57,,Bookmatch 2 faces,x,,x,,,,,,,,,
,Elazıg Cherry,Tuscano Burgundy,,Bookmatch 2 faces,x,,,,,,,,,,,
