,,,,MARKETING NAME:,Polished,,Honed,,Satin,,Silk,Organic Matte,,Vintage,Grained,Patinated,20mm,
situ,Reference Name,Completely Random,Photos,Notes,Polished,Unglazed Polished,Honed,Structured Honed,Satin,Unglazed Satin,Structured matt,Structured matt,Structured matt,Structured matt,Structured matt,Structured Brushed,Structured matt,
,Arabescato Corchia,Arabescato Corchia Block 59,,Random 10 faces,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798
2 inch Hexagon ",,,,,,,,,,,
,Statuario,Statuario Block 16,,Random 10 faces,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,,,,,,"298x598
598x598
598x1198
2 inch Hexagon ",,,,
,Bianco Gioia,Bianco Gioia Block 19,,Random 10 faces,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,,,,,,"298x598
598x598
598x1198
2 inch Hexagon ",,,"60x120
90x90
Vintage
",
check with Origo,Calacatta Corchia,Calacatta Corchia Block 43,,Random 10 faces,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798
2 inch Hexagon ",,,,,,,,,,,
,Ariel Bianco,Ariel Bianco Block 33,,Random 10 faces,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798
2 inch Hexagon ",,,,,,,,,,,
,Calacatta Paonazzo,Calacatta Oro Block 12,,Random 10 faces,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,,,,,,"298x598
598x598
598x1198
2 inch Hexagon ",,,,
,Calacatta Cremo,Calacatta Cremo Block 31,,Random 10 faces,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798
2 inch Hexagon ",,,,,,,,,,,
,"Crystal - White Macaubas - Color adjust to white background, grey or grey/beige veins?",Bianco Stratura Block 18,,Random 8 faces,"298x598
598x1198
898x1798
1198x2798",,"298x598
598x1198
898x1798
1198x2798
2 inch Hexagon",,,,,,,,,,,
,Gemma Bronze,Gemma Bronze Block 45,,Bookmatch 2 faces,1198x2798,,1198x2798,,,,,,,,,,,
check with Origo,Calacatta Borghini,Calacatta Borghini Block 48,,Random 10 faces,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,,,,,,"298x598
598x598
598x1198
2 inch Hexagon ",,,,
,Taj Mahal,Taj Mahal Block 36,,Random 10 faces,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798
2 inch Hexagon",,,,,,,,,,,
,Crystal - French Vanilla ,French Vanilla Block 35,,Random 10 faces,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,,,,,,"298x598
598x598
598x1198
2 inch Hexagon ",,,"60x120
90x90
Vintage
",
,Pietra Imperiale (grey version),Forge Eleganza Block 20,,Random 10 faces,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,,,,,,"298x598
598x598
598x1198
2 inch Hexagon ",,,"60x120
90x90
Vintage
",
,,Atlantic Ocean Block 24,,Random 10 faces,"598x1198
898x898
1198x2798",,"598x1198
898x898
1198x2798
2 inch Hexagon",,,,,,,,,,,
,Verdi Alpi,Verdi Alpi Block 57,,Random 10 faces,"598x1198
898x898
1198x2798",,"598x1198
898x898
1198x2798
2 inch Hexagon",,,,,,,,,,,
,,Foresta Block 56,,Random 10 faces,"598x1198
898x898
1198x2798",,"598x1198
898x898
1198x2798
2 inch Hexagon",,,,,,,,,,,
,,Pietra Imperiale,,Random 10 faces,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,,,,,,"298x598
598x598
598x1198
2 inch Hexagon ",,,"60x120
90x90
Vintage
",
,Foresta Vecchia ,Macchia Vecchia  Block 42,,Bookmatch 2 faces,1198x2798,,1198x2798,,,,,,,,,,,
,Elazıg Cherry,Tuscano Burgundy,,Bookmatch 2 faces,1198x2798,,,,,,,,,,,,,
,Oro Noir,Oro Noir Block 25,,Bookmatch 2 faces,1198x2798,,1198x2798,,,,,,,,,,,
,Bianco Dior,Bianco Dior Block 38,,Bookmatch 2 faces,1198x2798,,1198x2798,,,,,,,,,,,
,Sahara Noir,Sahara Noir Block 15,,Random 8 faces,"598x1198
898x898
1198x2798",,"598x1198
898x898
1198x2798
2 inch Hexagon",,,,,,,,,,,
,Calacatta Noir,Calacatta Noir Block 34,,Random 10 faces,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,,,,,,"298x598
598x598
598x1198
2 inch Hexagon ",,,"60x120
90x90
Vintage
",
,Travertino Classico,Travertino Classico Block 55,,Random 8 faces,,,,"298x598
598x1198
898x1798
1198x2798",,,,,"298x598
598x1198
898x1798 
2 inch Hexagon 
",,"298x598
598x1198
898x1798",,"60x120
Grained
",
,Travertine Titanium,Travertino Titanium Block 39,,Random 8 faces,,,,"298x598
598x1198
898x1798
1198x2798",,,,,"298x598
598x1198
898x1798 
2 inch Hexagon 
",,"298x598
598x1198
898x1798",,"60x120
Grained
",
,Crystal - White Onyx,Crystal Bianco Block 50,,Random 10 faces,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798
2 inch Hexagon",,,,,,,,,,,
,Ceppo type stone OS-1140,Ceppo di Gre Block 71,,Random 10 faces,,,,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,,,,"298x598
598x598
598x1198
2 inch Hexagon",,"298x598
598x598
598x1198",,"60x120
90x90
Grained
",
,VARIOUS MARBLES,26,,,105,,129,,,,,,12,32,9,,14,301
,Crystal - Pure Light Green Onyx,Lustra Onyx new color- name pending,,Random 10 faces,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798
2 inch Hexagon",,,,,,,,,,,
,Crystal - Pure Light Green Onyx,Lustra Onyx Crema,,Random 10 faces,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798
2 inch Hexagon",,,,,,,,,,,
,Crystal - Pure Light Green Onyx,Lustra Onyx Hazel,,Random 10 faces,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798
2 inch Hexagon",,,,,,,,,,,
,Crystal - Pure Light Green Onyx,Lustra Onyx Sage,,Random 10 faces,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798
2 inch Hexagon",,,,,,,,,,,
,ONYX,4,,,24,,28,,,,,,,,,,,52
,Pietra Serena Dark Grey,Serena Flint ,,Random 10 faces,,,,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,,,,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798
4 inch Hexagon","298x598
598x598
598x1198
",,,"60x120
90x90
Vintage
",
,Pietra Serena Warm Grey,Serena Crater ,,Random 10 faces,,,,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,,,,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798
4 inch Hexagon","298x598
598x598
598x1198
",,,"60x120
90x90
Vintage
",
,Pietra Serena Light Grey,	Serena Shale,,Random 10 faces,,,,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,,,,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798
4 inch Hexagon","298x598
598x598
598x1198
",,,"60x120
90x90
Vintage
",
,Pietra Serena Color 4,Serena Pewter,,Random 10 faces,,,,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,,,,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798
4 inch Hexagon","298x598
598x598
598x1198
",,,"60x120
90x90
Vintage
",
,Pietra Serena Color 5,Serena Dusk,,Random 10 faces,,,,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,,,,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798
4 inch Hexagon","298x598
598x598
598x1198
",,,"60x120
90x90
Vintage
",
,Pietra Serena Color 6,Serena Valley,,Random 10 faces,,,,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,,,,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798
4 inch Hexagon","298x598
598x598
598x1198
",,,"60x120
90x90
Vintage
",
,LIMESTONES,6,,,,,36,,,,,,42,18,,,12,108
,Halila Limestone Crosscut ivory,Lithoform Dunes - Crosscut,,Random 10 faces,,,,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798",,,,,"298x598
598x598
598x1198
1198x1198
898x898
1198x2798
4 inch Hexagon","298x598
598x598
598x1198",,,"60x120
90x90
Vintage
",
