base_revision,id,room,type,x_mm,z_mm,yaw_deg,width_mm,height_mm,depth_mm,relocatable,geometry_verified
1,APS-R4-SL-01,4,sliding,6240,900,45,1600,3200,680,0,0
1,APS-R4-SL-02,4,sliding,6415.000000000001,900,45,1600,3200,680,0,0
1,APS-R4-SL-03,4,sliding,6590.000000000001,900,45,1600,3200,680,0,0
1,APS-R4-SL-04,4,sliding,6765.000000000001,900,45,1600,3200,680,0,0
1,APS-R4-SL-05,4,sliding,6940,900,45,1600,3200,680,0,0
1,APS-R4-SL-06,4,sliding,7115,900,45,1600,3200,680,0,0
1,APS-R4-SL-07,4,sliding,7290.000000000001,900,45,1600,3200,680,0,0
1,APS-R4-SL-08,4,sliding,7465.000000000001,900,45,1600,3200,680,0,0
1,APS-R4-SL-09,4,sliding,7640.000000000001,900,45,1600,3200,680,0,0
1,APS-R4-SL-10,4,sliding,7815,900,45,1600,3200,680,0,0
1,APS-R4-SL-11,4,sliding,7990,900,45,1600,3200,680,0,0
1,APS-R4-SL-12,4,sliding,8165.000000000001,900,45,1600,3200,680,0,0
1,APS-R4-SL-13,4,sliding,9275,900,-45,1600,3200,680,0,0
1,APS-R4-SL-14,4,sliding,9450.000000000002,900,-45,1600,3200,680,0,0
1,APS-R4-SL-15,4,sliding,9625,900,-45,1600,3200,680,0,0
1,APS-R4-SL-16,4,sliding,9800,900,-45,1600,3200,680,0,0
1,APS-R4-SL-17,4,sliding,9975.000000000002,900,-45,1600,3200,680,0,0
1,APS-R4-SL-18,4,sliding,10150,900,-45,1600,3200,680,0,0
1,APS-R4-SL-19,4,sliding,10325.000000000002,900,-45,1600,3200,680,0,0
1,APS-R4-SL-20,4,sliding,10500,900,-45,1600,3200,680,0,0
1,APS-R4-SL-21,4,sliding,10675,900,-45,1600,3200,680,0,0
1,APS-R4-SL-22,4,sliding,10850.000000000002,900,-45,1600,3200,680,0,0
1,APS-R4-SL-23,4,sliding,11025,900,-45,1600,3200,680,0,0
1,APS-R4-SL-24,4,sliding,11200.000000000002,900,-45,1600,3200,680,0,0
1,APS-R5-SL-01,5,sliding,17800,900,45,1200,2800,680,0,0
1,APS-R5-SL-02,5,sliding,17975,900,45,1200,2800,680,0,0
1,APS-R5-SL-03,5,sliding,18150.000000000004,900,45,1200,2800,680,0,0
1,APS-R5-SL-04,5,sliding,18325.000000000004,900,45,1200,2800,680,0,0
1,APS-R5-SL-05,5,sliding,18500,900,45,1200,2800,680,0,0
1,APS-R5-SL-06,5,sliding,18675,900,45,1200,2800,680,0,0
1,APS-R5-SL-07,5,sliding,18850,900,45,1200,2800,680,0,0
1,APS-R5-SL-08,5,sliding,19025.000000000004,900,45,1200,2800,680,0,0
1,APS-R5-SL-09,5,sliding,19200.000000000004,900,45,1200,2800,680,0,0
1,APS-R5-SL-10,5,sliding,19375,900,45,1200,2800,680,0,0
1,APS-R5-SL-11,5,sliding,19550,900,45,1200,2800,680,0,0
1,APS-R5-SL-12,5,sliding,19725,900,45,1200,2800,680,0,0
1,APS-R5-SL-13,5,sliding,20835,900,-45,1200,2800,680,0,0
1,APS-R5-SL-14,5,sliding,21010,900,-45,1200,2800,680,0,0
1,APS-R5-SL-15,5,sliding,21185.000000000004,900,-45,1200,2800,680,0,0
1,APS-R5-SL-16,5,sliding,21360,900,-45,1200,2800,680,0,0
1,APS-R5-SL-17,5,sliding,21535,900,-45,1200,2800,680,0,0
1,APS-R5-SL-18,5,sliding,21710,900,-45,1200,2800,680,0,0
1,APS-R5-SL-19,5,sliding,21885,900,-45,1200,2800,680,0,0
1,APS-R5-SL-20,5,sliding,22060.000000000004,900,-45,1200,2800,680,0,0
1,APS-R5-SL-21,5,sliding,22235,900,-45,1200,2800,680,0,0
1,APS-R5-SL-22,5,sliding,22410,900,-45,1200,2800,680,0,0
1,APS-R5-SL-23,5,sliding,22585,900,-45,1200,2800,680,0,0
1,APS-R5-SL-24,5,sliding,22760,900,-45,1200,2800,680,0,0
1,APS-H-FX-01,0,fixed,6350,5450,45,1600,3200,100,1,0
1,APS-H-FX-02,0,fixed,7710,5450,-45,1600,3200,100,1,0
1,APS-H-FX-03,0,fixed,9070,5450,45,1600,3200,100,1,0
1,APS-H-FX-04,0,fixed,10430,5450,-45,1600,3200,100,1,0
1,APS-H-FX-05,0,fixed,11790,5450,45,1600,3200,100,1,0
1,APS-H-FX-06,0,fixed,13150,5450,-45,1600,3200,100,1,0
1,APS-H-FX-07,0,fixed,15850,5450,45,1600,3200,100,1,0
1,APS-H-FX-08,0,fixed,17210,5450,-45,1600,3200,100,1,0
1,APS-H-FX-09,0,fixed,18570,5450,45,1600,3200,100,1,0
1,APS-H-FX-10,0,fixed,19930,5450,-45,1600,3200,100,1,0
1,APS-H-FX-11,0,fixed,21290,5450,45,1600,3200,100,1,0
1,APS-H-FX-12,0,fixed,22650,5450,-45,1600,3200,100,1,0
1,APS-H-FX-13,0,fixed,6350,8000,-45,1600,3200,100,1,0
1,APS-H-FX-14,0,fixed,7710,8000,45,1600,3200,100,1,0
1,APS-H-FX-15,0,fixed,9070,8000,-45,1600,3200,100,1,0
1,APS-H-FX-16,0,fixed,10430,8000,45,1600,3200,100,1,0
1,APS-H-FX-17,0,fixed,11790,8000,-45,1600,3200,100,1,0
1,APS-H-FX-18,0,fixed,13150,8000,45,1600,3200,100,1,0
1,APS-H-FX-19,0,fixed,15850,8000,-45,1600,3200,100,1,0
1,APS-H-FX-20,0,fixed,17210,8000,45,1600,3200,100,1,0
1,APS-H-FX-21,0,fixed,18570,8000,-45,1600,3200,100,1,0
1,APS-H-FX-22,0,fixed,19930,8000,45,1600,3200,100,1,0
1,APS-H-FX-23,0,fixed,21290,8000,-45,1600,3200,100,1,0
1,APS-H-FX-24,0,fixed,22650,8000,45,1600,3200,100,1,0
1,APS-R6-WF-01,6,waterfall,28640,1150,-99,600,2800,205,0,0
1,APS-R6-WF-02,6,waterfall,28640,1730,-99,600,2800,205,0,0
1,APS-R6-WF-03,6,waterfall,28640,2309.9999999999995,-99,600,2800,205,0,0
1,APS-R6-WF-04,6,waterfall,28640,2889.9999999999995,-99,600,2800,205,0,0
1,APS-R6-WF-05,6,waterfall,28640,3469.9999999999995,-99,600,2800,205,0,0
1,APS-R6-WF-06,6,waterfall,28640,4050,-99,600,2800,205,0,0
1,APS-R6-WF-07,6,waterfall,28640,4629.999999999999,-99,600,2800,205,0,0
1,APS-R6-WF-08,6,waterfall,28640,5209.999999999999,-99,600,2800,205,0,0
1,APS-R6-WF-09,6,waterfall,28640,5789.999999999999,-99,600,2800,205,0,0
1,APS-R6-WF-10,6,waterfall,26650,1900,81,600,2800,205,0,0
1,APS-R6-WF-11,6,waterfall,26650,2480,81,600,2800,205,0,0
1,APS-R6-WF-12,6,waterfall,26650,3059.9999999999995,81,600,2800,205,0,0
1,APS-R6-WF-13,6,waterfall,26650,3639.9999999999995,81,600,2800,205,0,0
1,APS-R6-WF-14,6,waterfall,26650,4220,81,600,2800,205,0,0
1,APS-R6-WF-15,6,waterfall,26650,4800,81,600,2800,205,0,0
1,APS-R6-WF-16,6,waterfall,26320,1900,-99,600,2800,205,0,0
1,APS-R6-WF-17,6,waterfall,26320,2480,-99,600,2800,205,0,0
1,APS-R6-WF-18,6,waterfall,26320,3059.9999999999995,-99,600,2800,205,0,0
1,APS-R6-WF-19,6,waterfall,26320,3639.9999999999995,-99,600,2800,205,0,0
1,APS-R6-WF-20,6,waterfall,26320,4220,-99,600,2800,205,0,0
1,APS-R6-WF-21,6,waterfall,26320,4800,-99,600,2800,205,0,0
1,APS-R8-RT-1-1,8,rotating,22600,12400,0,1200,1200,680,0,0
1,APS-R8-RT-1-2,8,rotating,22600,12290.000000000002,0,1200,1200,680,0,0
1,APS-R8-RT-1-3,8,rotating,22600,12180,0,1200,1200,680,0,0
