base_revision,id,product_id,sku,finish,width_mm,height_mm,thickness_mm,lifecycle,availability
1,SKU-8000-0467-1,onyx-halo,8000-0467-1,Honed,1600,3200,12,unconfirmed,installed_reference
1,SKU-8000-0521-1,monoforma-silhouette,8000-0521-1,Polished,1600,3200,12,unconfirmed,installed_reference
1,SKU-8000-0186-0,armani-noir,8000-0186-0,Honed,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0046-0,calacatta-carrara,8000-0046-0,Honed,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0246-0,fusion-white,8000-0246-0,Honed,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0565-0,publica-thunder,8000-0565-0,Organic Matte,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0268-1,nero-marquina,8000-0268-1,Polished,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0262-0,montagna-jade,8000-0262-0,Honed,1620,3220,6,unconfirmed,installed_reference
1,SKU-8000-0543-1,serena-flint,8000-0543-1,Honed,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0538-0,travertino-titanium,8000-0538-0,Grained,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0294-0,super-white,8000-0294-0,Honed,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0562-0,publica-terrain,8000-0562-0,Patinated,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0232-0,cristallo,8000-0232-0,Polished,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0048-0,calacatta-viola,8000-0048-0,Polished,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0560-0,publica-horizon,8000-0560-0,Patinated,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0529-0,french-vanilla,8000-0529-0,Polished,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0541-1,serena-crater,8000-0541-1,Honed,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0256-0,marina-white,8000-0256-0,Polished,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0549-0,lithoform-crosscut-dunes,8000-0549-0,Vintage,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0577-0,travertino-classico,8000-0577-0,Grained,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0599-0,taj-mahal,8000-0599-0,Honed,1600,3200,6,unconfirmed,installed_reference
1,SKU-8000-0519-1,monoforma-storm,8000-0519-1,Polished,1600,3200,12,unconfirmed,installed_reference
1,SKU-8000-0463-1,colorado-lincoln,8000-0463-1,Polished,1600,3200,12,unconfirmed,installed_reference
1,SKU-8000-0476-1,calacatta-noir,8000-0476-1,Satin,1600,3200,12,unconfirmed,installed_reference
1,SKU-8500-0089-0,lithoform-crosscut-twilight,8500-0089-0,Honed,1200,2800,6,unconfirmed,installed_reference
1,SKU-8500-0101-0,lithoform-veincut-twilight,8500-0101-0,Honed,1200,2800,6,unconfirmed,installed_reference
